lambda,risk_teacher,risk_pure,cross_risk,D,risk_derivative,xi_oracle,xi_derivative,risk_optimal,gain,gain_derivative,gcv_teacher,gcv_pure,gcv_cross,D_gcv,xi_gcv,kind,seed,n,p
0.02,1.9526447406709924,1.8352796446409685,1.8901601891962598,0.0076040069194411005,-6.24845514747326,8.217319123550348,8.217319123550357,1.4391892409112066,0.5134554997597858,0.513455499759787,1.9820289182969553,1.8762079085549896,1.9253556696240475,0.007525487603849967,7.5308407449790105,isotropic,0,400,200
0.027789909887462754,1.9067630731076413,1.7650255093067606,1.8296318395662066,0.012524903281988669,-5.551024372067646,6.158229872509484,6.158229872509484,1.4317712066092727,0.4749918664983686,0.4749918664983687,1.9391934022955142,1.8136952456522912,1.8704031059628137,0.012082436022177845,5.6934128354938425,isotropic,0,400,200
0.038613954577665,1.8511539730181517,1.6873105050958332,1.7593814627341147,0.019701552645755602,-4.753333932656554,4.658135931424063,4.658135931424062,1.4236651453470945,0.42748882767105706,0.4274888276710567,1.8876798488393332,1.7456776618129382,1.8074574505596486,0.018442609532974163,4.349839871426668,isotropic,0,400,200
0.053653915905594526,1.7864595413207462,1.6071135396531824,1.6821032411474217,0.029366598679085525,-3.8899788920138567,3.55357122946777,3.5535712294677726,1.4156219954111178,0.37083754590962853,0.3708375459096291,1.8282951733414323,1.6765738485691484,1.7391445948309567,0.026579832248667223,3.354068516175297,isotropic,0,400,200
0.0745518744062988,1.7148540002659587,1.531395622074181,1.6025098234706558,0.0412299753988277,-3.013852507129211,2.724817943949031,2.7248179439490317,1.4087365714359352,0.3061174288300236,0.30611742883002363,1.7632422372526304,1.6120771862467704,1.6696547888545574,0.03600984579028621,2.5989405492905093,isotropic,0,400,200
0.10358949358462421,1.6401971505619264,1.4680294418653785,1.526933827310798,0.05435893780570902,-2.1867724096672316,2.083619140167102,2.083619140167103,1.4041995223569417,0.23599762820498474,0.23599762820498493,1.6961857563862097,1.5582335645921004,1.6043018178310537,0.045815685316202615,2.0055126955104483,isotropic,0,400,200
0.14393713460023042,1.567759775195464,1.4242919956058064,1.4623483982138241,0.0673549743736225,-1.4646863337165708,1.5650125022231607,1.5650125022231636,1.4027896523426389,0.16497012285282503,0.16497012285282564,1.6319367785649086,1.5203933341149412,1.5487193961918684,0.05489132029611277,1.516039000776839,isotropic,0,400,200
0.20000000000000004,1.5035198519713,1.4054788198898414,1.4151169397796624,0.07876479230181695,-0.8840291219163775,1.1223658389510967,1.122365838951098,1.4042994432636124,0.09922040870768752,0.09922040870768778,1.5757862873994812,1.5023752982314353,1.5079490038557328,0.06226357791945114,1.089517914172999,isotropic,0,400,200
0.27789909887462755,1.4532214113341375,1.4140075070301503,1.3898964170098598,0.08743608434456834,-0.45574091158062,0.724243254932671,0.7242432549326718,1.4073587113261297,0.04586270000800782,0.045862700008007934,1.5326630673476482,1.5059583165907715,1.4856653962707638,0.0672905913968922,0.6984285633586368,isotropic,0,400,200
0.38613954577665,1.4214615121127268,1.4490240511169077,1.3889427078027006,0.09260014762423321,-0.16843032352265502,0.3511744327016181,0.35117443270161725,1.4100417394570184,0.011419772655708378,0.011419772655708324,1.5063375433196904,1.5306642092660943,1.4836635979778363,0.06967455663011224,0.3254264747205403,isotropic,0,400,200
