p,lambda,median_weight_error,median_excess_risk,sign_accuracy,min_D_gcv
50,0.1,0.40831871774719275,0.0064578170736947944,1.0,0.032983347070101754
50,0.5,0.3070996655059517,0.007674806293809115,0.5416666666666666,0.05143887433785199
50,2.0,0.36964742065636014,0.007170920488675164,1.0,0.02812879589681172
100,0.1,0.39519325590298837,0.006990764901746665,1.0,0.036755078628483595
100,0.5,0.23859838803225486,0.005205523717899444,0.3333333333333333,0.056519229413639405
100,2.0,0.3076995892849741,0.005956047202916358,1.0,0.0411352390849129
200,0.1,0.34144944894380236,0.00603855323633012,1.0,0.035053711172140734
200,0.5,0.22950782833347266,0.0051493822721879485,0.3333333333333333,0.060096224906753815
200,2.0,0.3387850473596753,0.006476813363077375,1.0,0.03968336094157143
400,0.1,0.23334568067107553,0.0026564333615836933,1.0,0.03678819810272094
400,0.5,0.15630770232911045,0.0022381308361977634,0.20833333333333334,0.058747981116630044
400,2.0,0.2239277126951249,0.0030760488638627323,1.0,0.038927722749690474
