n,p,gamma,seed,lambda,xi_oracle,xi_gcv,abs_weight_error,sign_match,excess_risk,D_gcv
100,50,0.5,0,0.1,1.7444439314154674,1.033113701383017,0.7113302300324504,1,0.036789348851572534,0.03956760601693876
100,50,0.5,0,0.5,0.0642235365971328,-0.4507574825648341,0.5149810191619669,0,0.022749193545148167,0.057103835712530415
100,50,0.5,0,2.0,-1.4626191719971913,-2.0750351399923117,0.6124159679951204,1,0.020486364791678417,0.04131431208723768
100,50,0.5,1,0.1,1.9270726249420815,2.589488126671349,0.6624155017292677,1,0.02455978806559537,0.039860845044109805
100,50,0.5,1,0.5,-0.132371347403651,0.566427851021084,0.6987991984247349,0,0.03543880485108682,0.06064536670511522
100,50,0.5,1,2.0,-1.759278770835597,-1.3753118169393284,0.38396695389626867,1,0.007726675702815053,0.056637104300203855
100,50,0.5,2,0.1,3.1611155135613913,2.7960762591347286,0.36503925442666274,1,0.004680440664911408,0.0453788886308546
100,50,0.5,2,0.5,0.6164782163422018,0.003315900987122839,0.6131623153550789,1,0.03436347163934953,0.09491175166992738
100,50,0.5,2,2.0,-1.0645265595796078,-1.9851090823406405,0.9205825227610327,1,0.07158691656743058,0.07702282474131472
100,50,0.5,3,0.1,1.8891560354699708,2.3442458849499976,0.45508984948002684,1,0.009341798521733297,0.039641459213522356
100,50,0.5,3,0.5,-0.13279865220307188,-0.12446791650817057,0.008330735694901309,1,5.789092574244717e-06,0.07639591752455832
100,50,0.5,3,2.0,-1.5877995907399116,-2.002234461078242,0.41443487033833026,1,0.01165876262145585,0.055698932921147026
100,50,0.5,4,0.1,2.329225017552067,1.6401890156970704,0.6890360018549966,1,0.025662022192263073,0.046297046775419126
100,50,0.5,4,0.5,0.17204882679910494,-0.2352802442992032,0.4073290710983081,0,0.01731889988421529,0.06498502747943036
100,50,0.5,4,2.0,-1.5884446720457177,-1.7055677149477435,0.1171230429020258,1,0.0007876401846379297,0.033376643932498506
100,50,0.5,5,0.1,2.223606472947321,2.2042270092423117,0.019379463705009314,1,2.0226312472762396e-05,0.04493894414258914
100,50,0.5,5,0.5,0.45525774965973054,0.09355384353063403,0.36170390612909653,1,0.011978507550845495,0.07096959702324668
100,50,0.5,5,2.0,-1.0772316671762912,-1.655921779963559,0.5786901127872679,1,0.02106456681371635,0.05564192776080512
100,50,0.5,6,0.1,2.0933864375175606,1.5170978259143075,0.5762886116032531,1,0.023305848182515587,0.05092568669856412
100,50,0.5,6,0.5,0.3033363209955053,-0.300740887090352,0.6040772080858573,0,0.04115325318799846,0.0752333448282223
100,50,0.5,6,2.0,-1.2087778744183681,-1.8685495203941316,0.6597716459757634,1,0.029948581114323566,0.049980907406701025
100,50,0.5,7,0.1,2.6188283413364886,2.088693968629239,0.5301343727072494,1,0.01757335549025403,0.044044338666034744
100,50,0.5,7,0.5,0.4019819060606766,0.32247901702463144,0.07950288903604513,1,0.0005666538912484395,0.060132320037964426
100,50,0.5,7,2.0,-1.259542081893949,-1.1492516363504477,0.1102904455435012,1,0.0006168760794195294,0.035560379498280614
100,50,0.5,8,0.1,1.663784992911661,1.4386534251240075,0.22513156778765353,1,0.0030920122909941362,0.046839392687912706
100,50,0.5,8,0.5,-0.24385540493434052,-0.3607975959094761,0.11694219097513556,1,0.0014324966714362156,0.06922274235169734
100,50,0.5,8,2.0,-1.8402156334045865,-1.911967912697111,0.07175227929252448,1,0.0003272734899905235,0.04596579441288551
100,50,0.5,9,0.1,1.9937978527125628,2.2576159654731374,0.26381811276057454,1,0.003638402510444375,0.04296967439006272
100,50,0.5,9,0.5,0.12252515621526099,0.10606487552289331,0.01646028069236767,1,2.4012566882452916e-05,0.0705006244035391
100,50,0.5,9,2.0,-1.4123666208946648,-1.6499181743964977,0.23755155350183288,1,0.003437303965283778,0.04602905770213139
100,50,0.5,10,0.1,1.5576986523026501,2.06945295167323,0.5117542993705799,1,0.013033892828914805,0.04612729125025483
100,50,0.5,10,0.5,0.01300593082330796,0.0722174584310543,0.05921152760774634,1,0.0003438111731718493,0.06754404430724215
100,50,0.5,10,2.0,-1.336273705864034,-1.4282508422177662,0.09197713635373228,1,0.0004884480899912823,0.04255365343902495
100,50,0.5,11,0.1,1.0860716248026798,1.413772880358255,0.32770125555557517,1,0.0040997368429444144,0.036822378060889616
100,50,0.5,11,0.5,-0.39616251609134795,-0.7047442538031841,0.3085817377118361,1,0.008213121943704006,0.06918130515303211
100,50,0.5,11,2.0,-1.7199879994934881,-2.5040019307626316,0.7840139312691434,1,0.04090571901039908,0.0501613933752445
100,50,0.5,12,0.1,2.4819745828642237,1.8890426125785733,0.5929319702856504,1,0.016003834510797555,0.04982602873167785
100,50,0.5,12,0.5,0.3158098603749027,-0.30062376906389066,0.6164336294387933,0,0.042589709414022625,0.08374968113804693
100,50,0.5,12,2.0,-1.1370962998211729,-2.0081862239933193,0.8710899241721464,1,0.05695367989556701,0.05282349539871323
100,50,0.5,13,0.1,2.0686160047865285,1.0062885636984933,1.0623274410880352,1,0.06410597400435121,0.03840692526893852
100,50,0.5,13,0.5,0.07984917160967062,-0.6649172878777327,0.7447664594874034,0,0.048776787678004946,0.05999181966777423
100,50,0.5,13,2.0,-1.6524899790155907,-2.2667494275349593,0.6142594485193686,1,0.02151260766036598,0.040827115535567504
100,50,0.5,14,0.1,1.5559624730874797,1.822346797877067,0.2663843247895874,1,0.0028884912136638093,0.040216487957938085
100,50,0.5,14,0.5,-0.19638251705175894,-0.32225058122742917,0.12586806417567023,1,0.0014320399411552431,0.0679457433138122
100,50,0.5,14,2.0,-1.6880159316682721,-2.0067992039841367,0.31878327231586456,1,0.006128928418744564,0.0410615007972055
100,50,0.5,15,0.1,0.9412648701067782,1.0083753185978996,0.06711044849112147,1,0.0003259773589400193,0.04531242008739955
100,50,0.5,15,0.5,-0.351473717461269,-0.2579469129035039,0.09352680455776508,1,0.0008691575888422307,0.052654935914175915
100,50,0.5,15,2.0,-1.8155151945747867,-1.2846321334414954,0.5308830611332913,1,0.01319391528915345,0.02812879589681172
100,50,0.5,16,0.1,1.4939232605748989,1.7710254007925132,0.27710214021761437,1,0.003950731026649043,0.041151704266158884
100,50,0.5,16,0.5,-0.19730864713554747,0.07308330670823843,0.2703919538437859,0,0.006314279110342073,0.05543225639301719
100,50,0.5,16,2.0,-1.7749871087379316,-1.370561746083012,0.4044253626549197,1,0.0079076060575252,0.03854554508535468
100,50,0.5,17,0.1,2.9611148643379157,1.8498149081834152,1.1112999561545005,1,0.04798672169808233,0.032983347070101754
100,50,0.5,17,0.5,0.33105248299286305,-0.10490301259698087,0.4359554955898439,0,0.013479076014891917,0.05143887433785199
100,50,0.5,17,2.0,-1.6574771952497462,-1.6805529129381143,0.023075717688368025,1,2.387331833895538e-05,0.03241935303330834
100,50,0.5,18,0.1,1.624415697836418,1.8819945646704996,0.2575788668340817,1,0.004428703403201241,0.04135554420005194
100,50,0.5,18,0.5,-0.07200634906837892,-0.0262993624154169,0.04570698665296202,1,0.00018575037381552022,0.06414186997336335
100,50,0.5,18,2.0,-1.6412562298996647,-1.643714682572407,0.0024584526727422507,1,3.373203062383713e-07,0.03984486400657605
100,50,0.5,19,0.1,1.9492599434609552,2.293607274562533,0.34434733110157767,1,0.0039325651946937575,0.03651122854840194
100,50,0.5,19,0.5,-0.20649790249687466,0.09911969080319255,0.3056175933000672,0,0.007136490643914225,0.05937027022134389
100,50,0.5,19,2.0,-1.9087381201582634,-1.5534102327418118,0.3553278874164516,1,0.006394707590246388,0.039165355315233796
100,50,0.5,20,0.1,1.8513197349895179,2.3029179160572406,0.45159818106772276,1,0.008207965903010674,0.040181993928078086
100,50,0.5,20,0.5,0.12307241768258745,0.053707053445202116,0.06936536423738533,1,0.00040864275591317035,0.06514868038446231
100,50,0.5,20,2.0,-1.2922034902822874,-1.6347847756816136,0.3425812853993262,1,0.006615165274535273,0.04549040406847604
100,50,0.5,21,0.1,2.1337566861276396,1.8639390649428749,0.2698176211847647,1,0.003150200266509754,0.03835343998320884
100,50,0.5,21,0.5,0.1055753572902837,-0.3385160250465699,0.44409138233685364,0,0.016696838075408258,0.06959614295033534
100,50,0.5,21,2.0,-1.5211184331603569,-2.118925525855836,0.5978070926954793,1,0.022425508629501194,0.047487748908823235
100,50,0.5,22,0.1,2.1611891111602426,1.142432195901062,1.0187569152591807,1,0.07533104502647468,0.051010925983469235
100,50,0.5,22,0.5,0.21631372282740202,-0.29484048143774194,0.511154204265144,0,0.02913137153630067,0.061905141684153175
100,50,0.5,22,2.0,-1.3716865394442457,-1.5383991825104955,0.16671264306624978,1,0.0015798519403987475,0.0425231638896042
100,50,0.5,23,0.1,1.7700416339447258,1.4304411321581831,0.33960050178654266,1,0.004707668244378915,0.036257306206472606
100,50,0.5,23,0.5,-0.22409010831253193,-0.4807291097772444,0.2566390014647125,1,0.005413007324197324,0.05724636316316323
100,50,0.5,23,2.0,-1.8794902786526482,-2.083306471157311,0.20381619250466265,1,0.002210232389444126,0.039813971861146324
200,100,0.5,0,0.1,2.2099573207052736,1.713427276336414,0.4965300443688596,1,0.013653539747057339,0.04243869924490573
200,100,0.5,0,0.5,0.16772748189717146,-0.20425409434725936,0.37198157624443084,0,0.012541112963294916,0.06773505507266453
200,100,0.5,0,2.0,-1.4923412602010835,-1.9128900844372654,0.4205488242361819,1,0.010932295817015675,0.04876557757111133
200,100,0.5,1,0.1,1.854305979172018,1.890664377707107,0.03635839853508904,1,8.204397502244917e-05,0.04808684750148107
200,100,0.5,1,0.5,-0.06645407540093337,0.17415074818202397,0.24060482358295734,0,0.00580642459368776,0.06513655244054295
200,100,0.5,1,2.0,-1.7618582880325295,-1.2238023922073107,0.5380558958252188,1,0.016062776295938767,0.0411352390849129
200,100,0.5,2,0.1,1.8865748749419957,0.7645278604475718,1.122047014494424,1,0.16184221718545566,0.0637931339079727
200,100,0.5,2,0.5,0.21151857058734394,-0.22096872905395165,0.4324872996412956,0,0.025509125645624315,0.06828866671439648
200,100,0.5,2,2.0,-1.3541878527304472,-1.3012341157954723,0.05295373693497485,1,0.0001765503006771915,0.043509053151818744
200,100,0.5,3,0.1,1.7384088093696817,1.765021796253227,0.02661298688354541,1,4.309931496946675e-05,0.04338311558073782
200,100,0.5,3,0.5,0.020510563445510673,-0.10698571546585295,0.12749627891136361,0,0.0014866790682538523,0.06739036233323814
200,100,0.5,3,2.0,-1.5628465557431626,-1.7738824390377346,0.211035883294572,1,0.00269879839263351,0.04885999543763253
200,100,0.5,4,0.1,1.7893932535843462,2.4298367755332997,0.6404435219489535,1,0.024974986519400607,0.04889788186474142
200,100,0.5,4,0.5,-0.007215832792430526,0.47014049435714567,0.4773563271495762,0,0.02164801048715609,0.07150753761560047
200,100,0.5,4,2.0,-1.595888613366779,-1.1794280413712694,0.41646057199550945,1,0.01031333173776803,0.0472311571591475
200,100,0.5,5,0.1,1.382591049021939,3.2939776607241704,1.9113866117022313,1,0.17164908222833794,0.03675973314581249
200,100,0.5,5,0.5,-0.2964734808945785,0.9300887495667979,1.2265622304613764,0,0.09730446368048451,0.0584773570160495
200,100,0.5,5,2.0,-1.6936560395406643,-0.9603356297616589,0.7333204097790055,1,0.024793147125589336,0.04206172438802591
200,100,0.5,6,0.1,2.1670592892528893,1.8740855331592243,0.29297375609366494,1,0.0038987362490072526,0.04046875936956296
200,100,0.5,6,0.5,0.021452133171795756,-0.13676495588927767,0.15821708906107343,0,0.0021867660956269223,0.06294027327381535
200,100,0.5,6,2.0,-1.51364674437136,-1.7579344810695414,0.2442877366981815,1,0.003361805963340765,0.04552672377278233
200,100,0.5,7,0.1,2.7207128158562752,2.443279388139554,0.2774334277167214,1,0.002939203614168006,0.04363479164702211
200,100,0.5,7,0.5,0.3163968370598734,-0.049439864410898614,0.365836701470772,0,0.012704217512442408,0.07582145166665155
200,100,0.5,7,2.0,-1.3072035678119085,-1.8146501781997229,0.5074466103878144,1,0.016957434239611484,0.047987881906935925
200,100,0.5,8,0.1,2.048703503414347,2.394716909215357,0.34601340580101025,1,0.005836902322974284,0.044678634326917877
200,100,0.5,8,0.5,0.1766584841141188,0.21670138131493155,0.04004289720081275,1,0.0001461234328987073,0.0698471944185921
